M.hi,M.lo,MET.hi,MET.lo,MET.sp,SEC.hi,SEC.lo,M,MET,SEC,T
392,1355,2301,3020,545,157,540,1747,5866,697,8310
449,1360,2248,3144,527,154,535,1809,5919,689,8417
440,1617,2245,2924,535,135,582,2057,5704,717,8478
477,1635,2420,2999,538,162,535,2112,5957,697,8766
420,1411,2604,2876,539,139,569,1831,6019,708,8558
397,1146,2439,3013,510,133,527,1543,5962,660,8165
453,1174,2530,2924,567,157,550,1627,6021,707,8355
381,1020,2595,2807,478,142,573,1401,5880,715,7996
434,1060,2335,2788,551,143,537,1494,5674,680,7848
653,1871,2984,3761,694,263,659,2524,7439,922,10885
670,1881,2988,3722,705,243,645,2551,7415,888,10854
